  PID   TT  STAT      TIME COMMAND
  390   ??  S      0:00.04 /System/Library/CoreServices/backgroundtaskmanagementagent
  391   ??  S      0:00.98 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  392   ??  S      0:00.02 /System/Library/CoreServices/APFSUserAgent
  393   ??  S      0:00.29 /usr/libexec/rapportd
  394   ??  S      0:00.05 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  395   ??  S      0:00.90 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  396   ??  S      0:02.38 /usr/libexec/nsurlsessiond
  397   ??  S      0:00.60 /usr/sbin/usernoted
  398   ??  S      0:03.06 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  399   ??  S      0:00.60 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  400   ??  S      0:21.75 /usr/libexec/secinitd
  401   ??  S      0:01.38 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  403   ??  S      0:00.53 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  404   ??  S      0:03.31 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  405   ??  S      0:00.88 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  406   ??  S      0:20.54 /System/Library/CoreServices/iconservicesagent
  407   ??  S      0:01.07 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  409   ??  S      0:00.62 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  410   ??  S      0:00.74 /usr/libexec/networkserviceproxy
  411   ??  S      0:00.41 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  412   ??  S      0:01.24 /usr/libexec/swcd
  413   ??  S      0:00.41 /usr/libexec/siriknowledged
  414   ??  S      0:01.72 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  416   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/SiriInference.framework/Support/siriinferenced
  418   ??  S      0:00.14 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  419   ??  S      0:01.99 /usr/libexec/triald
  420   ??  S      0:00.10 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  421   ??  S      0:00.17 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  422   ??  S      0:01.22 /usr/libexec/pkd
  423   ??  S      0:01.45 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  424   ??  S      0:00.09 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
