Processes: 381 total, 2 running, 379 sleeping, 1166 threads 
2026/07/12 09:29:41
Load Avg: 0.81, 1.01, 1.80 
CPU usage: 6.97% user, 25.58% sys, 67.44% idle 
SharedLibs: 508M resident, 98M data, 40M linkedit.
MemRegions: 29481 total, 1446M resident, 230M private, 855M shared.
PhysMem: 6600M used (1361M wired), 1592M unused.
VM: 12T vsize, 3153M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 38691/43M in, 20842/2059K out.
Disks: 225736/3426M read, 120623/2067M written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP PPID STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS   COW  MSGSENT MSGRECV SYSBSD   SYSMACH CSW     PAGEINS IDLEW  POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
595   ctkahp           0.0  00:00.06 3     2   50     732K  0B    0B    595  1    sleeping *0[3]     0.00000 0.00000    501 1850     124  155     51      858      381     295     0       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
594   TextInputSwitche 0.0  00:00.17 3     1   171    5836K 0B    0B    594  1    sleeping *0[1]     0.00000 0.00000    501 5515     274  966     340     2403     2185    1031    1       2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
593   com.apple.audio. 0.0  00:00.05 2     1   21     3340K 0B    0B    593  1    sleeping *0[1]     0.00000 0.00000    0   1755     126  83      40      606      166     61      0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
592   login            0.0  00:00.04 2     1   32     1168K 0B    0B    592  552  sleeping *0[9]     0.00000 0.00000    0   1527     191  83      34      2214     242     318     0       0      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
591   ctkahp           0.0  00:00.06 2     1   35     704K  0B    0B    591  1    sleeping *0[3]     0.00000 0.00000    0   1656     119  94      45      626      224     265     0       1      0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
589   TextInputMenuAge 0.0  00:00.23 3     1   176    10M   0B    0B    589  1    sleeping *0[80]    0.00000 0.00000    501 7561     308  1608    431     3133     3778    1977    1       7      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
588   cloudpaird       0.0  00:00.20 3     2   104    1872K 0B    0B    588  1    sleeping *0[16]    0.00000 0.00000    501 5188     288  466     184     3306     1250    1464    6       2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
587   AirPlayUIAgent   0.0  00:00.07 3     1   148    2788K 0B    0B    587  1    sleeping *0[8]     0.00000 0.00000    501 3290     261  697     171     1615     1462    646     2       2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
585   askpermissiond   0.0  00:00.15 2     1   66     2016K 24K   0B    585  1    sleeping *0[4]     0.00000 0.00000    501 3898     244  412     117     5073     1335    2057    0       158    0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
584   icdd             0.0  00:00.09 2     1   59     1028K 0B    0B    584  1    sleeping *0[1]     0.00000 0.00000    501 2183     166  349     145     1187     557     464     2       1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
582   imklaunchagent   0.0  00:00.04 2     1   80     1564K 0B    0B    582  1    sleeping *0[1]     0.00000 0.00000    501 2543     184  290     99      1193     667     356     0       2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
579   corespeechd      0.0  00:00.20 3     1   140    1744K 0B    0B    579  1    sleeping *0[1]     0.00000 0.00000    501 3550     301  701     922     5112     2114    2450    18      1      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
578   CallHistoryPlugi 0.0  00:00.11 2     1   66     2756K 80K   0B    578  1    sleeping *0[3]     0.00000 0.00000    501 3133     211  234     73      2200     635     519     0       2      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
