  PID   TT  STAT      TIME COMMAND
  437   ??  Ss     0:00.69 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  438   ??  S      0:00.32 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  439   ??  S      0:00.32 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  440   ??  S      0:00.41 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  443   ??  S      0:00.07 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  445   ??  S      0:00.10 /System/Library/Image Capture/Support/icdd
  446   ??  S      0:00.22 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  448   ??  S      0:00.61 /usr/libexec/sharingd
  449   ??  S      0:00.10 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  450   ??  S      0:00.35 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  451   ??  S      0:00.23 /System/Library/CoreServices/cloudpaird
  452   ??  S      0:00.21 /System/Library/CoreServices/diagnostics_agent
  453   ??  S      0:00.32 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  454   ??  S      0:00.85 /usr/libexec/remindd
  455   ??  S      0:00.31 /System/Library/PrivateFrameworks/AppleMediaServices.framework/Resources/amsaccountsd
  457   ??  Ss     0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  458   ??  S      0:00.08 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  459   ??  S      0:00.70 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  460   ??  S      0:00.22 /usr/libexec/avconferenced
  461   ??  S      0:00.19 /System/Library/CoreServices/TextInputSwitcher.app/Contents/MacOS/TextInputSwitcher
  463   ??  S      0:01.24 /usr/libexec/triald
  464   ??  S      0:00.07 /System/Library/CoreServices/pbs
  465   ??  U      0:00.54 /System/Library/Frameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  466   ??  S      0:00.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  467   ??  S      0:00.12 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  468   ??  S      0:00.13 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
  469   ??  S      0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  470   ??  Ss     0:00.33 /usr/sbin/systemsoundserverd
  471   ??  S      0:00.11 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
