Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Video Description (Original) Language,Channel ID,Video Title (Original),Video Title (Original) Language,Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
gqLOMrS_1uY,3101000,zxx,People,Title: Ruling Through The Courts When They Dont Have The Votes With Dahlia Lithwick,en-US,UCqSYEc4R7Vp4h233TQECEIw,Refuse Fascism 1 - Out of first Spotify podcast publication dates - Sounds of AI-generated Fox News,en-US,Unlisted,Processed,2024-02-26T21:50:26+00:00,2024-02-26T21:53:43+00:00
UvsCtR4h-LQ,208000,zxx,People,"From the ""When Anderson met Audie"" episode of Anderson Cooper's All There Is podcast. The first episode I watched was about his mother, Gloria Vanderbilt. Very helpful for my grief: https://github.com/maxieds/ChameleonMiniLiveDebugger/issues/26#issuecomment-1722385007",en-US,UCqSYEc4R7Vp4h233TQECEIw,Florida Governor Ron Desantis in rare form - Big world filled with little Johns (Podcast audio clip),en-US,Unlisted,Processed,2024-02-28T18:23:40+00:00,2024-02-28T18:36:58+00:00
Q_KLdQ46qpM,77000,zxx,People,"Part of the recovery process for this country is going to be confronting and overcoming the mountain of just asking questions about what has been going on for the last decade. With this in mind, I think this clip is important. More support for an affirmative at the questions beneath the clip are found in episodes #52 and #47 (Bandy Lee seems to be a pseudonym for Dr. Lena Wen who frequented CNN coverage of COVID-19).",en-US,UCqSYEc4R7Vp4h233TQECEIw,When Anderson met Audie (clip) - Hints at intimidation to silence journalists during the Trump era,en-US,Unlisted,Processed,2024-02-28T18:26:57+00:00,2024-02-28T18:33:51+00:00
g8sQW_nMwUg,32000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Recovery from Hurricane Musk-Trump - Chicago near Anthony/X - Darkweb ipad missing Bluetooth thingys,en-US,Unlisted,Processed,2024-02-28T18:27:49+00:00,2024-02-28T18:29:45+00:00
pCf6n8OhKIk,3149000,zxx,People,Title: Trump Indicted  Media Complicity in the Rise of Fascism,en-US,UCqSYEc4R7Vp4h233TQECEIw,Refuse Fascism 3 - Out of first Spotify podcast publication dates - Sounds of AI-generated Fox News,en-US,Unlisted,Processed,2024-02-28T18:51:40+00:00,2024-02-28T18:55:25+00:00
dQJSqwoWEVw,2880000,zxx,People,Title: The Bloody Promises of the Orange Hued Malignancy,en-US,UCqSYEc4R7Vp4h233TQECEIw,Refuse Fascism 2 - Out of first Spotify podcast publication dates - Sounds of AI-generated Fox News,en-US,Unlisted,Processed,2024-02-28T18:53:01+00:00,2024-02-28T18:56:54+00:00
2T3gTMYC1iw,63000,zxx,People,"The 2600 Off the Hook radio show guys are complaining about censorship and emails arbitrarily getting classified as spam depending on keywords of which Google may or may not approve or disapprove. Censorship (government) on a state level they say? YES! Checkout the links in the repository below.

LINK: https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/google-gmail-problems",en-US,UCqSYEc4R7Vp4h233TQECEIw,Recent Google censorship problems - Chromebook entry points - See below for relevant links,en-US,Unlisted,Processed,2024-03-05T22:43:01+00:00,2024-03-05T23:10:44+00:00
9Dqjq6pgIds,132000,zxx,People,"The 2600 Off the Hook radio show guys are complaining about censorship and emails arbitrarily getting classified as spam depending on keywords of which Google may or may not approve or disapprove. Censorship (government) on a state level they say? YES! Checkout the links in the repository below.

LINK: https://github.com/maxieds/public-file-stashes/tree/main/image-gallery-collections/google-gmail-problems",en-US,UCqSYEc4R7Vp4h233TQECEIw,Recent Google censorship problems - Windows desktop entry points - See below for relevant links,en-US,Unlisted,Processed,2024-03-05T22:43:12+00:00,2024-03-05T23:10:06+00:00
msfLMemuOwc,58000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Oddities living near Anthony/X in Chicago - IMG_1487 (03/2024),en-US,Unlisted,Processed,2024-03-05T22:44:08+00:00,2024-03-05T23:06:25+00:00
Qb2oYe16BEQ,15000,zxx,People,LINK: https://github.com/maxieds/public-file-stashes/tree/main/ipad-darkweb-analytics-logs/new-year-2024-rhymes-with-hey-lon_contd_v2 (see Settings* prefixed file contents),en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Updated country symbols - GNSZ5256 - See below for links,en-US,Unlisted,Processed,2024-03-05T22:44:23+00:00,2024-03-05T23:05:17+00:00
