Processes: 473 total, 9 running, 14 stuck, 450 sleeping, 4972 threads 
2026/05/25 23:28:39
Load Avg: 15.43, 13.31, 12.90 
CPU usage: 21.11% user, 52.49% sys, 26.39% idle 
SharedLibs: 179M resident, 50M data, 11M linkedit.
MemRegions: 222600 total, 523M resident, 20M private, 205M shared.
PhysMem: 8165M used (3239M wired), 26M unused.
VM: 16T vsize, 3153M framework vsize, 982560330(0) swapins, 987525651(0) swapouts.
Networks: packets: 30873200/36G in, 15576389/14G out.
Disks: 35553684/3967G read, 28735045/3868G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
31619  NewsToday2       0.0  00:04.83 9     8/2 115    13M   0B    13M   31619 1     sleeping *57[13]   0.00000 0.00000    501 67353     839    2032      1073      38331     5126      21385     3416    93       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31570  coreaudiod       0.0  00:03.51 5     1   574    10M   0B    9212K 31570 1     sleeping *0[1]     0.00000 0.00000    202 32995     297    57506     47694     167605    202559    79212     259     68       0.0   0      0      _coreaudiod            N/A    N/A   N/A   N/A   N/A   N/A  
31534  warmd            0.0  00:00.09 2     1   26     744K  0B    740K  31534 1     sleeping *0[1]     0.00000 0.00000    0   5005      130    102       162       1505      441       902       23      25       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31467  bash             0.0  00:00.03 1     0   21     1024K 0B    1020K 31467 31466 sleeping *0[1]     0.00000 0.00000    501 2200      503    110       47        2056      203       287       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31466  login            0.0  00:00.04 2     1   31     1120K 0B    1116K 31466 391   sleeping *0[9]     0.00000 0.00000    0   1562      181    83        33        3933      246       219       0       1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31449  bash             0.0  00:00.04 1     0   21     1084K 0B    1080K 31449 31448 sleeping *0[1]     0.00000 0.00000    501 2455      567    112       48        2737      203       277       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31448  login            0.0  00:00.05 2     1   32     1168K 0B    1164K 31448 391   sleeping *0[9]     0.00000 0.00000    0   1579      170    83        33        3929      246       345       30      1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31430  bash             0.0  00:00.03 1     0   21     1024K 0B    1020K 31430 31429 sleeping *0[1]     0.00000 0.00000    501 1931      462    108       46        1888      202       182       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31429  login            0.0  00:00.05 2     1   32     1168K 0B    1164K 31429 391   sleeping *0[9]     0.00000 0.00000    0   1563      189    83        33        3997      246       412       30      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31377  bash             0.0  00:00.04 1     0   21     1076K 0B    1072K 31377 31376 sleeping *0[1]     0.00000 0.00000    501 2463      514    110       47        2363      199       350       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31376  login            0.0  00:00.05 2     1   32     1124K 0B    1120K 31376 391   sleeping *0[9]     0.00000 0.00000    0   1534      186    83        33        3926      246       350       31      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31359  bash             0.0  00:00.02 1     0   21     1012K 0B    1008K 31359 31358 sleeping *0[1]     0.00000 0.00000    501 1876      454    108       46        1839      200       171       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31358  login            0.0  00:00.05 2     1   31     1132K 0B    1128K 31358 391   sleeping *0[9]     0.00000 0.00000    0   1577      176    83        33        3949      246       417       31      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31331  bash             0.0  00:00.07 1     0   21     1000K 0B    856K  31331 31330 sleeping *0[1]     0.00000 0.00000    501 3034      633    116       50        3148      205       627       3       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31330  login            0.0  00:00.05 2     1   32     1164K 0B    1160K 31330 391   sleeping *0[9]     0.00000 0.00000    0   1533      180    83        33        3921      246       423       31      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31288  bash             0.0  00:00.05 1     0   21     1092K 0B    1088K 31288 31287 sleeping *0[1]     0.00000 0.00000    501 2064      553    112       48        2751      202       327       4       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31287  login            0.0  00:00.17 2     1   31     1100K 0B    1096K 31287 391   sleeping *0[9]     0.00000 0.00000    0   1610      195    83        33        3922      246       892       633     1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31267  bash             0.0  00:00.05 1     0   21     1052K 0B    1044K 31267 31266 sleeping *0[1]     0.00000 0.00000    501 2720      619    116       50        2833      204       677       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31266  login            0.0  00:00.05 2     1   32     1096K 0B    1092K 31266 391   sleeping *0[9]     0.00000 0.00000    0   1534      186    87        35        3922      250       335       30      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31244  bash             0.0  00:00.04 1     0   21     1072K 0B    1068K 31244 31243 sleeping *0[1]     0.00000 0.00000    501 2548      524    110       47        2351      201       508       0       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31243  login            0.0  00:00.04 2     1   32     1152K 0B    1148K 31243 391   sleeping *0[9]     0.00000 0.00000    0   1553      188    83        33        3916      246       263       30      1        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
